Assembly_Accession,Accession,Genome_Size_bp
GCA_017875105.1,GCA_017875105.1,6876928
GCA_017875935.1,GCA_017875935.1,5928556
GCA_017875875.1,GCA_017875875.1,5979470
GCA_021886055.1,GCA_021886055.1,5127365
GCA_021886095.1,GCA_021886095.1,5126321
GCA_021886115.1,GCA_021886115.1,5127031
GCA_021886255.1,GCA_021886255.1,5220707
GCA_021886135.1,GCA_021886135.1,5152045
GCA_021886155.1,GCA_021886155.1,5128881
GCA_021886175.1,GCA_021886175.1,5129023
GCA_021886215.1,GCA_021886215.1,5132117
GCA_021886195.1,GCA_021886195.1,5126587
GCA_021886235.1,GCA_021886235.1,5122821
GCA_021886275.1,GCA_021886275.1,5125547
GCA_021886335.1,GCA_021886335.1,5158626
GCA_021886295.1,GCA_021886295.1,5140662
GCA_021886315.1,GCA_021886315.1,5141753
GCA_021886325.1,GCA_021886325.1,5128566
GCA_021886365.1,GCA_021886365.1,5221305
GCA_021886395.1,GCA_021886395.1,5180661
GCA_021886435.1,GCA_021886435.1,5130724
GCA_021886465.1,GCA_021886465.1,5220433
GCA_021886445.1,GCA_021886445.1,5127305
GCA_021886415.1,GCA_021886415.1,5132257
GCA_021886495.1,GCA_021886495.1,5130983
GCA_021886515.1,GCA_021886515.1,5132315
GCA_021886535.1,GCA_021886535.1,5128953
GCA_021886545.1,GCA_021886545.1,5129762
GCA_021886555.1,GCA_021886555.1,5136853
GCA_021886595.1,GCA_021886595.1,5130775
GCA_021886615.1,GCA_021886615.1,5179121
GCA_021886635.1,GCA_021886635.1,5129398
GCA_021886695.1,GCA_021886695.1,5126976
GCA_021886655.1,GCA_021886655.1,5126855
GCA_021886675.1,GCA_021886675.1,5126956
GCA_017897275.1,GCA_017897275.1,6087340
GCA_023721055.1,GCA_023721055.1,5735851
GCA_017963645.1,GCA_017963645.1,4182369
GCA_018069545.1,GCA_018069545.1,3956823
GCA_018067325.1,GCA_018067325.1,3301033
GCA_018069475.1,GCA_018069475.1,3822198
GCA_018066995.1,GCA_018066995.1,3766184
GCA_018066915.1,GCA_018066915.1,4020717
GCA_020425125.1,GCA_020425125.1,4018432
GCA_020425085.1,GCA_020425085.1,3336071
GCA_020447005.1,GCA_020447005.1,3503745
GCA_020446815.1,GCA_020446815.1,3469903
GCA_020445645.1,GCA_020445645.1,3782423
GCA_020441965.1,GCA_020441965.1,3150728
GCA_020441835.1,GCA_020441835.1,2331126
GCA_023954975.1,GCA_023954975.1,3313765
GCA_023954895.1,GCA_023954895.1,2753925
GCA_018145875.1,GCA_018145875.1,3454584
GCA_018704125.1,GCA_018704125.1,5710896
GCA_021296255.1,GCA_021296255.1,4253899
GCA_028870015.1,GCA_028870015.1,3018865
GCA_020147965.1,GCA_020147965.1,3568533
GCA_020148005.1,GCA_020148005.1,3550803
GCA_018334495.1,GCA_018334495.1,3213912
GCA_018371595.1,GCA_018371595.1,5746660
GCA_018500125.2,GCA_018500125.2,2688051
GCA_019635125.1,GCA_019635125.1,3412515
GCA_026126045.1,GCA_026126045.1,7754986
GCA_026125485.1,GCA_026125485.1,4474157
GCA_018599245.1,GCA_018599245.1,3343139
GCA_030248355.1,GCA_030248355.1,6098834
GCA_030248375.1,GCA_030248375.1,5761182
GCA_030248435.1,GCA_030248435.1,5063154
GCA_030248455.1,GCA_030248455.1,4965674
GCA_030248465.1,GCA_030248465.1,5005338
GCA_030248475.1,GCA_030248475.1,6596017
GCA_030248515.1,GCA_030248515.1,5308311
GCA_030248535.1,GCA_030248535.1,5331333
GCA_030248555.1,GCA_030248555.1,5109612
GCA_030248575.1,GCA_030248575.1,5089791
GCA_030248595.1,GCA_030248595.1,5091615
GCA_030248615.1,GCA_030248615.1,5118617
GCA_030248655.1,GCA_030248655.1,6018399
GCA_030248675.1,GCA_030248675.1,5329695
GCA_018619345.1,GCA_018619345.1,4935043
GCA_018678055.1,GCA_018678055.1,4879109
GCA_018678155.1,GCA_018678155.1,2163352
GCA_018677115.1,GCA_018677115.1,2335373
GCA_018729395.1,GCA_018729395.1,5285619
GCA_018825825.1,GCA_018825825.1,4227919
GCA_018860465.1,GCA_018860465.1,4882408
GCA_018860305.1,GCA_018860305.1,3863924
GCA_018860315.1,GCA_018860315.1,4384924
GCA_018860525.1,GCA_018860525.1,4770656
GCA_018860885.1,GCA_018860885.1,3739335
GCA_018862045.1,GCA_018862045.1,3958657
GCA_018919485.1,GCA_018919485.1,3293789
GCA_030248695.1,GCA_030248695.1,10367482
GCA_024895295.1,GCA_024895295.1,4335219
GCA_021890375.1,GCA_021890375.1,4937042
GCA_020141465.1,GCA_020141465.1,3050628
GCA_019192725.1,GCA_019192725.1,9302517
GCA_019209835.1,GCA_019209835.1,5440368
GCA_019219205.1,GCA_019219205.1,6504501
GCA_019219145.1,GCA_019219145.1,6347836
GCA_019802205.1,GCA_019802205.1,4302565
GCA_019801945.1,GCA_019801945.1,6432285
GCA_019801785.1,GCA_019801785.1,3974251
GCA_019801465.1,GCA_019801465.1,4890691
GCA_019801415.1,GCA_019801415.1,3891939
GCA_019801375.1,GCA_019801375.1,4354432
GCA_019801285.1,GCA_019801285.1,4354432
GCA_019801275.1,GCA_019801275.1,5349766
GCA_019801155.1,GCA_019801155.1,3938762
GCA_019801145.1,GCA_019801145.1,4877391
GCA_019801065.1,GCA_019801065.1,3840776
GCA_019800715.1,GCA_019800715.1,5652136
GCA_019392295.1,GCA_019392295.1,4780826
GCA_028534295.1,GCA_028534295.1,7778174
GCA_022600535.1,GCA_022600535.1,1599701
GCA_022599575.1,GCA_022599575.1,2306684
GCA_019457885.1,GCA_019457885.1,5683156
GCA_025698965.1,GCA_025698965.1,6368588
GCA_019793245.1,GCA_019793245.1,5245344
GCA_045430275.1,GCA_045430275.1,3530622
GCA_019795155.1,GCA_019795155.1,4802898
GCA_020892135.1,GCA_020892135.1,6133624
GCA_021021495.1,GCA_021021495.1,4478111
GCA_021741465.1,GCA_021741465.1,2891321
GCA_020223605.1,GCA_020223605.1,5938630
GCA_020223655.1,GCA_020223655.1,5917558
GCA_020223675.1,GCA_020223675.1,6263759
GCA_020223715.1,GCA_020223715.1,6097766
GCA_020223695.1,GCA_020223695.1,5725458
GCA_020223735.1,GCA_020223735.1,5734140
GCA_020223755.1,GCA_020223755.1,5942700
GCA_020223775.1,GCA_020223775.1,6036056
GCA_020223855.1,GCA_020223855.1,5791448
GCA_020223915.1,GCA_020223915.1,5869011
GCA_020223935.1,GCA_020223935.1,5966851
GCA_020223945.1,GCA_020223945.1,5812176
GCA_020223975.1,GCA_020223975.1,5909622
GCA_020164735.1,GCA_020164735.1,5979029
GCA_020164965.1,GCA_020164965.1,6021539
GCA_020165015.1,GCA_020165015.1,6094686
GCA_020165035.1,GCA_020165035.1,6081144
GCA_020165105.1,GCA_020165105.1,6009397
GCA_020165055.1,GCA_020165055.1,5994570
GCA_020165095.1,GCA_020165095.1,6016873
GCA_020165135.1,GCA_020165135.1,6015556
GCA_020165155.1,GCA_020165155.1,6027806
GCA_020165175.1,GCA_020165175.1,5893128
GCA_020165255.1,GCA_020165255.1,6015236
GCA_020165275.1,GCA_020165275.1,6027353
GCA_020165285.1,GCA_020165285.1,5921369
GCA_020165615.1,GCA_020165615.1,7068446
GCA_049311105.1,GCA_049311105.1,6019260
GCA_049311125.1,GCA_049311125.1,6091466
GCA_049311145.1,GCA_049311145.1,6016964
GCA_022565775.1,GCA_022565775.1,3547975
GCA_022565595.1,GCA_022565595.1,4767865
GCA_020161655.1,GCA_020161655.1,4079253
GCA_020171305.1,GCA_020171305.1,4172769
GCA_020171225.1,GCA_020171225.1,3948491
GCA_020171505.1,GCA_020171505.1,4281599
GCA_049311285.1,GCA_049311285.1,6040234
GCA_049311185.1,GCA_049311185.1,5736323
GCA_049311225.1,GCA_049311225.1,6135506
GCA_049311245.1,GCA_049311245.1,5994113
GCA_049311265.1,GCA_049311265.1,6387381
GCA_049311325.1,GCA_049311325.1,5861187
GCA_049311305.1,GCA_049311305.1,6144687
GCA_020407115.1,GCA_020407115.1,5936305
GCA_020514995.1,GCA_020514995.1,4908447
GCA_021460775.1,GCA_021460775.1,6164725
GCA_022340305.1,GCA_022340305.1,4349219
GCA_020686745.1,GCA_020686745.1,5922599
GCA_035917035.1,GCA_035917035.1,6180225
GCA_035917075.1,GCA_035917075.1,6184672
GCA_020782055.1,GCA_020782055.1,5241150
GCA_020806135.1,GCA_020806135.1,5489970
GCA_020806125.1,GCA_020806125.1,4936305
GCA_020806255.1,GCA_020806255.1,4930147
GCA_020806165.1,GCA_020806165.1,5788737
GCA_020806175.1,GCA_020806175.1,5846736
GCA_020806245.2,GCA_020806245.2,5679345
GCA_020806205.2,GCA_020806205.2,6213247
GCA_020806225.1,GCA_020806225.1,5492613
GCA_020806365.1,GCA_020806365.1,6382451
GCA_020806315.1,GCA_020806315.1,5584168
GCA_020806295.1,GCA_020806295.1,6026712
GCA_020806385.1,GCA_020806385.1,5492043
GCA_020859525.1,GCA_020859525.1,5675508
GCA_049311165.1,GCA_049311165.1,5963391
GCA_049311205.1,GCA_049311205.1,5929937
GCA_022132145.1,GCA_022132145.1,4946288
GCA_020966405.1,GCA_020966405.1,5541105
GCA_021246005.1,GCA_021246005.1,6776080
GCA_021284725.1,GCA_021284725.1,6758884
GCA_021284705.1,GCA_021284705.1,6456543
GCA_021284645.1,GCA_021284645.1,6452708
GCA_021282585.1,GCA_021282585.1,6437493
GCA_021282605.1,GCA_021282605.1,6437550
GCA_021282505.1,GCA_021282505.1,6402142
GCA_021282725.2,GCA_021282725.2,6560350
GCA_021282805.1,GCA_021282805.1,6331005
GCA_021282705.1,GCA_021282705.1,6337608
GCA_021282685.1,GCA_021282685.1,6453510
GCA_021283035.1,GCA_021283035.1,6821240
GCA_021282925.1,GCA_021282925.1,6573143
GCA_021282945.1,GCA_021282945.1,6330466
GCA_021282955.1,GCA_021282955.1,6617895
GCA_021282425.1,GCA_021282425.1,6426528
GCA_021282465.2,GCA_021282465.2,6844061
GCA_021283195.1,GCA_021283195.1,6851844
GCA_021283485.1,GCA_021283485.1,6374204
GCA_021282365.1,GCA_021282365.1,6653275
GCA_021283435.1,GCA_021283435.1,6421375
GCA_021283425.1,GCA_021283425.1,6550452
GCA_021283515.1,GCA_021283515.1,6648013
GCA_028683135.1,GCA_028683135.1,5650743
GCA_028683095.1,GCA_028683095.1,5691026
GCA_021397475.1,GCA_021397475.1,6010014
GCA_021440175.1,GCA_021440175.1,5053332
GCA_021440305.1,GCA_021440305.1,5191023
GCA_021441435.1,GCA_021441435.1,5211352
GCA_028683115.1,GCA_028683115.1,11042149
GCA_030450905.1,GCA_030450905.1,5696905
GCA_030450835.1,GCA_030450835.1,5634881
GCA_030453085.1,GCA_030453085.1,2754312
GCA_030452985.1,GCA_030452985.1,5545306
GCA_030452945.1,GCA_030452945.1,3672821
GCA_030452955.1,GCA_030452955.1,2911619
GCA_030452885.1,GCA_030452885.1,5590082
GCA_030452785.1,GCA_030452785.1,2938056
GCA_030452005.1,GCA_030452005.1,2886023
GCA_030454145.1,GCA_030454145.1,2318885
GCA_030457865.1,GCA_030457865.1,2706627
GCA_022397495.1,GCA_022397495.1,5433503
GCA_022397575.1,GCA_022397575.1,5437082
GCA_022397595.1,GCA_022397595.1,5750835
GCA_022397515.1,GCA_022397515.1,5362979
GCA_022397855.1,GCA_022397855.1,5444841
GCA_022397715.1,GCA_022397715.1,5577754
GCA_022397755.1,GCA_022397755.1,6019004
GCA_022397775.1,GCA_022397775.1,6571930
GCA_022397875.1,GCA_022397875.1,5973111
GCA_022397925.1,GCA_022397925.1,5673640
GCA_022397815.1,GCA_022397815.1,6060078
GCA_022397835.1,GCA_022397835.1,6133793
GCA_022398025.1,GCA_022398025.1,4763292
GCA_022398215.1,GCA_022398215.1,4776745
GCA_022398095.1,GCA_022398095.1,4861965
GCA_022398135.1,GCA_022398135.1,4861909
GCA_022398175.1,GCA_022398175.1,5267894
GCA_022398155.1,GCA_022398155.1,5056704
GCA_022398375.1,GCA_022398375.1,5120024
GCA_022398255.1,GCA_022398255.1,5458104
GCA_022398275.1,GCA_022398275.1,5198330
GCA_022398185.1,GCA_022398185.1,5327112
GCA_022398015.1,GCA_022398015.1,5567936
GCA_022398055.1,GCA_022398055.1,5473383
GCA_022398225.1,GCA_022398225.1,5332458
GCA_021654205.1,GCA_021654205.1,4946758
GCA_021654215.1,GCA_021654215.1,5931515
GCA_049311365.1,GCA_049311365.1,6386594
GCA_049311385.1,GCA_049311385.1,5845174
GCA_049311405.1,GCA_049311405.1,5710980
GCA_049311425.1,GCA_049311425.1,5817468
GCA_049311445.1,GCA_049311445.1,5928537
GCA_021556615.1,GCA_021556615.1,3301116
GCA_021568915.1,GCA_021568915.1,5929762
GCA_023614155.1,GCA_023614155.1,6805857
GCA_022395475.1,GCA_022395475.1,5847898
GCA_022395435.1,GCA_022395435.1,5545761
GCA_021725735.1,GCA_021725735.1,5022810
GCA_021728175.1,GCA_021728175.1,5277722
GCA_021728395.1,GCA_021728395.1,4796238
GCA_021728155.1,GCA_021728155.1,5454024
GCA_021728075.1,GCA_021728075.1,5222597
GCA_022428245.1,GCA_022428245.1,2410520
GCA_022426505.1,GCA_022426505.1,2301724
GCA_022425845.1,GCA_022425845.1,2710510
GCA_022425565.1,GCA_022425565.1,2288675
GCA_022425545.1,GCA_022425545.1,2369009
GCA_022425265.1,GCA_022425265.1,1495862
GCA_022425105.1,GCA_022425105.1,2561869
GCA_022425025.1,GCA_022425025.1,1858840
GCA_022424665.1,GCA_022424665.1,1617821
GCA_029891085.1,GCA_029891085.1,5677636
GCA_029890725.1,GCA_029890725.1,5358464
GCA_029890585.1,GCA_029890585.1,5533645
GCA_029890535.1,GCA_029890535.1,4909239
GCA_029891265.1,GCA_029891265.1,5489277
GCA_022097175.1,GCA_022097175.1,5746208
GCA_022290765.1,GCA_022290765.1,5187650
GCA_022289815.1,GCA_022289815.1,5107418
GCA_022289765.1,GCA_022289765.1,5621557
GCA_022289855.1,GCA_022289855.1,5213853
GCA_022289695.1,GCA_022289695.1,5149767
GCA_022289755.1,GCA_022289755.1,5231580
GCA_022289715.1,GCA_022289715.1,4954563
GCA_022289615.1,GCA_022289615.1,5315773
GCA_022289565.1,GCA_022289565.1,5144054
GCA_022288995.1,GCA_022288995.1,5002932
GCA_022288885.1,GCA_022288885.1,5561785
GCA_022289055.1,GCA_022289055.1,5057115
GCA_022321465.1,GCA_022321465.1,4455020
GCA_022348205.1,GCA_022348205.1,4797051
GCA_022348185.1,GCA_022348185.1,4761141
GCA_022347985.1,GCA_022347985.1,4943900
GCA_022347725.1,GCA_022347725.1,5140250
GCA_022347645.1,GCA_022347645.1,5612733
GCA_022347625.1,GCA_022347625.1,4499839
GCA_023334465.1,GCA_023334465.1,4143481
GCA_023334455.1,GCA_023334455.1,4242133
GCA_023334515.1,GCA_023334515.1,3588131
GCA_026191655.1,GCA_026191655.1,5035848
GCA_022360075.1,GCA_022360075.1,7721863
GCA_030015165.1,GCA_030015165.1,3819001
GCA_029991385.1,GCA_029991385.1,3977722
GCA_022448925.1,GCA_022448925.1,3482169
GCA_023156385.1,GCA_023156385.1,4669185
GCA_022678625.1,GCA_022678625.1,3531661
GCA_028067435.1,GCA_028067435.1,1393941
GCA_028067395.1,GCA_028067395.1,1423307
GCA_028067365.1,GCA_028067365.1,1682499
GCA_028067315.1,GCA_028067315.1,1773175
GCA_028067255.1,GCA_028067255.1,2899136
GCA_028067235.1,GCA_028067235.1,1981994
GCA_028067195.1,GCA_028067195.1,1979289
GCA_028066975.1,GCA_028066975.1,4662353
GCA_028066985.1,GCA_028066985.1,2010107
GCA_028066395.1,GCA_028066395.1,4331150
GCA_022763405.1,GCA_022763405.1,3739386
GCA_022763485.1,GCA_022763485.1,4183237
GCA_022763195.1,GCA_022763195.1,4910188
GCA_022808245.1,GCA_022808245.1,5157064
GCA_030577755.1,GCA_030577755.1,2927328
GCA_030577655.1,GCA_030577655.1,2494471
GCA_030576935.1,GCA_030576935.1,2854972
GCA_030576815.1,GCA_030576815.1,2218326
GCA_030576735.1,GCA_030576735.1,2838811
GCA_030576575.1,GCA_030576575.1,3165619
GCA_030576555.1,GCA_030576555.1,2244361
GCA_030576505.1,GCA_030576505.1,2968352
GCA_030576395.1,GCA_030576395.1,2463085
GCA_030576355.1,GCA_030576355.1,2991408
GCA_030676315.1,GCA_030676315.1,922674
GCA_030575575.1,GCA_030575575.1,2111433
GCA_030575555.1,GCA_030575555.1,2863783
GCA_024704725.1,GCA_024704725.1,6129101
GCA_022969075.1,GCA_022969075.1,5076504
GCA_022969035.1,GCA_022969035.1,5119248
GCA_022968875.1,GCA_022968875.1,5065790
GCA_024170285.1,GCA_024170285.1,4572456
GCA_023015985.1,GCA_023015985.1,3771095
GCA_023016045.1,GCA_023016045.1,4143526
GCA_023015725.1,GCA_023015725.1,3994846
GCA_023015695.1,GCA_023015695.1,3525375
GCA_023016155.1,GCA_023016155.1,3359034
GCA_023016805.1,GCA_023016805.1,4296055
GCA_023540835.1,GCA_023540835.1,3184122
GCA_035787355.1,GCA_035787355.1,5931226
GCA_023094145.1,GCA_023094145.1,4305586
GCA_023541015.1,GCA_023541015.1,2840705
GCA_023161825.1,GCA_023161825.1,5278222
GCA_023161645.1,GCA_023161645.1,5089380
GCA_023195695.1,GCA_023195695.1,3544952
GCA_023218105.1,GCA_023218105.1,7254849
GCA_040371085.1,GCA_040371085.1,3241797
GCA_000521865.1,GCA_000521865.1,4898228
GCA_023502395.1,GCA_023502395.1,4589625
GCA_023896995.1,GCA_023896995.1,5810876
GCA_023554995.1,GCA_023554995.1,3957093
GCA_023555055.1,GCA_023555055.1,4289703
GCA_023634655.1,GCA_023634655.1,5212532
GCA_023954215.1,GCA_023954215.1,5908616
GCA_024746935.1,GCA_024746935.1,5342446
GCA_024746905.1,GCA_024746905.1,5047512
GCA_024746995.1,GCA_024746995.1,5399019
GCA_024747005.1,GCA_024747005.1,5369146
GCA_024747025.1,GCA_024747025.1,5258746
GCA_024747015.1,GCA_024747015.1,5254705
GCA_024747075.1,GCA_024747075.1,5200087
GCA_024747095.1,GCA_024747095.1,5202885
GCA_024747155.1,GCA_024747155.1,5317358
GCA_024747175.1,GCA_024747175.1,5262756
GCA_024747245.1,GCA_024747245.1,5188730
GCA_024747195.1,GCA_024747195.1,5269803
GCA_024747235.1,GCA_024747235.1,5228619
GCA_024747295.1,GCA_024747295.1,5327807
GCA_024747325.1,GCA_024747325.1,5272228
GCA_024747315.1,GCA_024747315.1,5289568
GCA_024747355.1,GCA_024747355.1,5396729
GCA_024747395.1,GCA_024747395.1,5247006
GCA_024747415.1,GCA_024747415.1,5230739
GCA_024747455.1,GCA_024747455.1,5112278
GCA_024747445.1,GCA_024747445.1,5236535
GCA_024747495.1,GCA_024747495.1,5314580
GCA_024747505.1,GCA_024747505.1,5302700
GCA_024747555.1,GCA_024747555.1,5250985
GCA_024747535.1,GCA_024747535.1,5173808
GCA_024747575.1,GCA_024747575.1,5135833
GCA_024747595.1,GCA_024747595.1,5171704
GCA_024747615.1,GCA_024747615.1,5394800
GCA_024747645.1,GCA_024747645.1,5253555
GCA_024747635.1,GCA_024747635.1,5074093
GCA_024747675.1,GCA_024747675.1,5190156
GCA_024747715.1,GCA_024747715.1,5209924
GCA_024747735.1,GCA_024747735.1,5167959
GCA_024747695.1,GCA_024747695.1,5170302
GCA_024747745.1,GCA_024747745.1,5247640
GCA_024747845.1,GCA_024747845.1,5181727
GCA_024747835.1,GCA_024747835.1,5296870
GCA_024747815.1,GCA_024747815.1,5279810
GCA_024748045.1,GCA_024748045.1,5113674
GCA_024748035.1,GCA_024748035.1,5172367
GCA_024748015.1,GCA_024748015.1,5191291
GCA_024747995.1,GCA_024747995.1,5070117
GCA_024748065.1,GCA_024748065.1,5089027
GCA_024748095.1,GCA_024748095.1,5101415
GCA_024747935.1,GCA_024747935.1,5043465
GCA_024748115.1,GCA_024748115.1,5273448
GCA_024747905.1,GCA_024747905.1,5157215
GCA_024747885.1,GCA_024747885.1,5398014
GCA_024748155.1,GCA_024748155.1,5197446
GCA_024747945.1,GCA_024747945.1,5260487
GCA_024747875.1,GCA_024747875.1,5354891
GCA_024748195.1,GCA_024748195.1,5194668
GCA_024747975.1,GCA_024747975.1,5008741
GCA_024748135.1,GCA_024748135.1,5940983
GCA_024748175.1,GCA_024748175.1,6124301
GCA_024748215.1,GCA_024748215.1,6124036
GCA_024748225.1,GCA_024748225.1,5251744
GCA_024748235.1,GCA_024748235.1,5163393
GCA_024748275.1,GCA_024748275.1,5321336
GCA_024748335.1,GCA_024748335.1,5170365
GCA_024748295.1,GCA_024748295.1,5347404
GCA_024748315.1,GCA_024748315.1,5197981
GCA_024748355.1,GCA_024748355.1,5068562
GCA_024748375.1,GCA_024748375.1,5247686
GCA_024748435.1,GCA_024748435.1,4942772
GCA_024748395.1,GCA_024748395.1,5153063
GCA_024748475.1,GCA_024748475.1,5073771
GCA_024748455.1,GCA_024748455.1,5148699
GCA_024748495.1,GCA_024748495.1,5159751
GCA_024748515.1,GCA_024748515.1,5276346
GCA_024744935.1,GCA_024744935.1,5139382
GCA_024744915.1,GCA_024744915.1,5237869
GCA_024744895.1,GCA_024744895.1,5227775
GCA_024744855.1,GCA_024744855.1,5126382
GCA_024744835.1,GCA_024744835.1,5118101
GCA_024744815.1,GCA_024744815.1,5128533
GCA_024744845.1,GCA_024744845.1,5054262
GCA_024744795.1,GCA_024744795.1,5271750
GCA_024744755.1,GCA_024744755.1,5178540
GCA_024744735.1,GCA_024744735.1,5142659
GCA_024744775.1,GCA_024744775.1,5138442
GCA_024744715.1,GCA_024744715.1,5218565
GCA_024744695.1,GCA_024744695.1,5217942
GCA_024744655.1,GCA_024744655.1,5513473
GCA_024744635.1,GCA_024744635.1,5051443
GCA_024744615.1,GCA_024744615.1,5269051
GCA_024744645.1,GCA_024744645.1,5264157
GCA_024744595.1,GCA_024744595.1,5287414
GCA_024744575.1,GCA_024744575.1,5305958
GCA_024744545.1,GCA_024744545.1,5252659
GCA_024744515.1,GCA_024744515.1,5145530
GCA_024744495.1,GCA_024744495.1,5263704
GCA_024744475.1,GCA_024744475.1,5239905
GCA_024744455.1,GCA_024744455.1,5289632
GCA_024744435.1,GCA_024744435.1,5203605
GCA_024744415.1,GCA_024744415.1,5213084
GCA_024744395.1,GCA_024744395.1,5590557
GCA_024744375.1,GCA_024744375.1,5296987
GCA_024744355.1,GCA_024744355.1,5352218
GCA_024744335.1,GCA_024744335.1,5203331
GCA_024744305.1,GCA_024744305.1,5146619
GCA_024744285.1,GCA_024744285.1,5234538
GCA_024744275.1,GCA_024744275.1,5139195
GCA_024744255.1,GCA_024744255.1,5290784
GCA_024744235.1,GCA_024744235.1,5138153
GCA_024744215.1,GCA_024744215.1,5174447
GCA_024744195.1,GCA_024744195.1,5120376
GCA_024744175.1,GCA_024744175.1,5139456
GCA_024744155.1,GCA_024744155.1,5335949
GCA_024744105.1,GCA_024744105.1,5336320
GCA_024744135.1,GCA_024744135.1,5179548
GCA_024744095.1,GCA_024744095.1,5184243
GCA_024744055.1,GCA_024744055.1,5043200
GCA_024744075.1,GCA_024744075.1,5051438
GCA_024744025.1,GCA_024744025.1,5102463
GCA_024744015.1,GCA_024744015.1,5195584
GCA_024743995.1,GCA_024743995.1,5194433
GCA_024743975.1,GCA_024743975.1,5223928
GCA_024743955.1,GCA_024743955.1,5223283
GCA_024743935.1,GCA_024743935.1,5266495
GCA_024743875.1,GCA_024743875.1,5264540
GCA_024743895.1,GCA_024743895.1,5198355
GCA_024743915.1,GCA_024743915.1,5244519
GCA_024743855.1,GCA_024743855.1,5034284
GCA_024743835.1,GCA_024743835.1,5244311
GCA_024743805.1,GCA_024743805.1,5276861
GCA_024743795.1,GCA_024743795.1,5177717
GCA_024743745.1,GCA_024743745.1,5178556
GCA_024743735.1,GCA_024743735.1,5211380
GCA_024743715.1,GCA_024743715.1,5220945
GCA_024743675.1,GCA_024743675.1,5420155
GCA_024743655.1,GCA_024743655.1,5260117
GCA_024743565.1,GCA_024743565.1,5371879
GCA_024743595.1,GCA_024743595.1,5375628
GCA_024743515.1,GCA_024743515.1,5342114
GCA_040147045.1,GCA_040147045.1,5293485
GCA_040147015.1,GCA_040147015.1,4909637
GCA_040147035.1,GCA_040147035.1,4838677
GCA_024124625.1,GCA_024124625.1,4001795
GCA_024124585.1,GCA_024124585.1,4144083
GCA_024124525.1,GCA_024124525.1,5192676
GCA_024128275.1,GCA_024128275.1,9803635
GCA_024128115.1,GCA_024128115.1,5289312
GCA_024128315.1,GCA_024128315.1,5531609
GCA_024128175.1,GCA_024128175.1,5521376
GCA_024127975.1,GCA_024127975.1,5799618
GCA_024127895.1,GCA_024127895.1,5337950
GCA_024127915.1,GCA_024127915.1,6914927
GCA_024128135.1,GCA_024128135.1,6895136
GCA_024128195.1,GCA_024128195.1,6895344
GCA_024126715.1,GCA_024126715.1,5570668
GCA_024127415.1,GCA_024127415.1,5542345
GCA_024159025.1,GCA_024159025.1,3825019
GCA_024435075.2,GCA_024435075.2,3927049
GCA_024331145.1,GCA_024331145.1,4135578
GCA_028069665.1,GCA_028069665.1,5985897
GCA_024357955.1,GCA_024357955.1,5707840
GCA_026537815.1,GCA_026537815.1,5575157
GCA_026537805.1,GCA_026537805.1,5574509
GCA_026537745.1,GCA_026537745.1,5821370
GCA_026537675.1,GCA_026537675.1,5810739
GCA_026537985.1,GCA_026537985.1,5797572
GCA_026537465.1,GCA_026537465.1,5720570
GCA_026537485.1,GCA_026537485.1,5825234
GCA_024744965.1,GCA_024744965.1,5139724
GCA_024745435.1,GCA_024745435.1,5062782
GCA_024745675.1,GCA_024745675.1,5819105
GCA_024745815.1,GCA_024745815.1,5046083
GCA_024745855.1,GCA_024745855.1,5257285
GCA_024746015.1,GCA_024746015.1,5963364
